Open Time,Open,High,Low,Close,Volume
9/25/2021,42849.24,42986.45,41623.57,42699.79,944.44035
9/26/2021,42706.43,43953.96,40758.14,43207.18,1701.25636
9/27/2021,43192.61,44367.62,42118.51,42171.38,1448.52434
9/28/2021,42161.79,42778.07,40851.47,41039.2,2764.7998
9/29/2021,41032.33,42588,40761.01,41526.74,1266.24308
9/30/2021,41533.27,44123.55,41402.28,43809.47,1572.68135
10/1/2021,43822.89,48486.08,43293.08,48147.38,2616.91387
10/2/2021,48181.13,48349.39,47460.89,47672.68,719.57948
10/3/2021,47662.03,49399.99,47134.57,48220,756.67767
10/4/2021,48214.74,49507.8,46933.6,49247.63,1283.57755
10/5/2021,49252.59,51921.46,49057.36,51488.94,1382.53304
10/6/2021,51502.83,55794.07,50408.96,55330.92,2133.377701
10/7/2021,55332.46,55352.49,53392.38,53767.81,1434.18373
10/8/2021,53788.03,56150.9,53627.77,54291.11,1013.435345
